fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,MLP,base,0.0398886200779119,0.048876788307090045,72.86331281742406,30
2,MLP,base,0.047947113948469476,0.05625445600657114,131.3291236210291,30
3,MLP,base,0.19138894120523928,0.21107358857878147,533.2664578828022,30
4,MLP,base,0.034532547000860496,0.04258884190580064,116.96993173976506,30
5,MLP,base,0.01463659669919815,0.01993276831325732,43.06799374908119,30
6,MLP,base,0.021475086332908667,0.0285545806563113,56.68141888020285,30
7,MLP,base,0.12550802748025167,0.13790437657796364,407.77224709505225,30
8,MLP,base,0.018877189041522004,0.02500315308800561,77.56458500541498,30
9,MLP,base,0.028512865774116648,0.03739252116795996,133.65486933738887,30
10,MLP,base,0.011739926746612188,0.015611963967531057,57.37273342604002,30
11,MLP,base,0.014966395059887895,0.01716328839004704,136.16448405037335,30
12,MLP,base,0.014812355490876476,0.01870045836433046,86.79888417689364,30
13,MLP,base,0.009556253883848087,0.012004141100553709,39.324481096623856,30
14,MLP,base,0.01725437717903251,0.024250459746416486,68.0170025912336,30
15,MLP,base,0.036762466133969336,0.043896558206629264,148.69944645724848,30
16,MLP,base,0.00645270193894233,0.0077782048214625225,40.861236538748194,30
17,MLP,base,0.007724724860717387,0.010256052086122952,35.94032755940132,30
18,MLP,base,0.011941261743826573,0.016057879542306506,61.83668894270487,30
19,MLP,base,0.009096563738942486,0.010814764867204023,52.55647666002346,30
1,LSTM,base,0.1130344228330131,0.12638299168231393,211.17635916760835,30
2,LSTM,base,0.011324629076934834,0.020224377090622064,21.200491261528516,30
3,LSTM,base,0.007290223119658377,0.01144123061781584,18.606382938627107,30
4,LSTM,base,0.008618695874813643,0.011545990671459167,27.153173044091407,30
5,LSTM,base,0.008576755057424914,0.012533713300492036,23.296890061064232,30
6,LSTM,base,0.012506664107837068,0.020497706683393947,33.807961420465766,30
7,LSTM,base,0.005891015671471308,0.008621904997612296,17.480467299070053,30
8,LSTM,base,0.011457971718866646,0.01548641379524661,61.83287352783673,30
9,LSTM,base,0.020385552852020577,0.033102169064551885,104.98531341041955,30
10,LSTM,base,0.0059727069594934954,0.009313419109748321,27.64300871011411,30
11,LSTM,base,0.004634018915215009,0.005335500965457021,51.62067745720631,30
12,LSTM,base,0.008120605494127915,0.014511169786140764,37.54951823380356,30
13,LSTM,base,0.008069221657487977,0.011739667560911667,34.02119389007777,30
14,LSTM,base,0.010435354058202263,0.014961752659591312,29.72034254072451,30
15,LSTM,base,0.004731071777869509,0.0068668905874421605,16.663441736807446,30
16,LSTM,base,0.00476443444514022,0.005964266854887718,33.54963960174012,30
17,LSTM,base,0.00872781426573924,0.013630211691687303,35.046148225583615,30
18,LSTM,base,0.007664767334400384,0.011073291144132432,33.469392741982205,30
19,LSTM,base,0.005989273179837528,0.007075431082045076,48.238326945784735,30
1,MLP,extended,0.04807317921564759,0.05618497297272414,69.77797332367001,30
2,MLP,extended,0.018108971624970494,0.027184269409119423,36.310495801942196,30
3,MLP,extended,0.019903598807449945,0.023977387193101187,49.800827732742995,30
4,MLP,extended,0.0431181201711639,0.050803619965268276,149.69733994183153,30
5,MLP,extended,0.01337762104991968,0.017064856739798594,39.45056351459071,30
6,MLP,extended,0.01729152042075071,0.024684988610390694,41.47345681117044,30
7,MLP,extended,0.02634294948950141,0.035129635655677095,83.29551019028817,30
8,MLP,extended,0.01324928216293571,0.018959442757011214,50.30863821433956,30
9,MLP,extended,0.015020485794554941,0.01896441105688342,55.71244563478799,30
10,MLP,extended,0.011890703081306244,0.014939169836667297,50.60137118093594,30
11,MLP,extended,0.010174597674946625,0.012393780863497765,87.11293793066022,30
12,MLP,extended,0.040554140467394424,0.05070537896692057,236.33705315315882,30
13,MLP,extended,0.01967520304484066,0.02241219332289617,78.57768106049387,30
14,MLP,extended,0.01309575973416712,0.017398822405984053,43.43183496637849,30
15,MLP,extended,0.011797081771348273,0.01488111448481472,42.97846944788689,30
16,MLP,extended,0.014537535873180544,0.017319838969006452,87.79862133671233,30
17,MLP,extended,0.025671310885323706,0.02981177849004583,121.7108994313263,30
18,MLP,extended,0.011935448649302485,0.014824152151912733,62.34823485324888,30
19,MLP,extended,0.00491351758531013,0.006855248423765647,31.956445070709687,30
1,LSTM,extended,0.021144811772119756,0.032762519107089556,25.48517346747895,30
2,LSTM,extended,0.014249612736801276,0.02077416916274443,31.549723314769494,30
3,LSTM,extended,0.03205987858121258,0.046944992997559956,91.12406055005715,30
4,LSTM,extended,0.008589074406595716,0.011347690352530517,26.857133666717637,30
5,LSTM,extended,0.008613892187778357,0.012684124653113572,22.16651216764562,30
6,LSTM,extended,0.012878147643368256,0.019553874871977454,32.108958028096175,30
7,LSTM,extended,0.005591797990070283,0.0069011517784039675,17.05042610166879,30
8,LSTM,extended,0.012294291582235327,0.01541227315684069,68.28298244295482,30
9,LSTM,extended,0.037824176406608255,0.06510435870131134,191.41796906721402,30
10,LSTM,extended,0.03200354614865725,0.05427596000976368,162.39899303314297,30
11,LSTM,extended,0.004683966906444603,0.00553748153948469,51.30395962912551,30
12,LSTM,extended,0.007829332549635911,0.014355635845209254,36.42440854639429,30
13,LSTM,extended,0.3761863650072722,0.3905524662067751,1797.6517590414878,30
14,LSTM,extended,0.009625774014719783,0.013990766104632535,27.42436956155256,30
15,LSTM,extended,0.07205831437593056,0.07577420011248304,302.63310124226257,30
16,LSTM,extended,0.00420571354152076,0.005545735282224637,28.840087101249363,30
17,LSTM,extended,0.009582158034458648,0.014512951499807922,36.84265648143757,30
18,LSTM,extended,0.007504400860672185,0.011060447640095361,32.93129916075672,30
19,LSTM,extended,0.004655127100598008,0.005710279235943262,37.796237993257925,30
