fold,model_name,feature_set,MAE,MSE,RMSE,MAPE,R2,DA,n_test
1,MLP,base,0.021995713226287125,0.00082517618199626,0.028725880003861674,90.97152624406436,-1.3199782437896337,50.0,30
2,MLP,base,0.01361492104292337,0.000319714199222079,0.017880553660949067,56.050395791589594,-1.1346994293290171,46.666666666666664,30
3,MLP,base,0.056025197655984973,0.006458948705244463,0.08036758491608705,76.06813051087164,-0.608741888619263,66.66666666666666,30
4,MLP,base,0.09477453589258336,0.016030352258415346,0.12661102739657137,449.2625570290751,-120.10234216036217,50.0,30
5,MLP,base,0.012471382835396191,0.0003002172984894285,0.017326779807264492,57.0917035378017,-1.2184903144509835,46.666666666666664,30
6,MLP,base,0.014180664887779717,0.00028153172314625095,0.016778907090339672,43.96950930270451,-0.28799347050182633,56.666666666666664,30
7,MLP,base,0.028877944583466306,0.0013386535424092182,0.03658761460397792,65.5124468814494,-2.4118759239018,53.333333333333336,30
8,MLP,base,0.019146423516822737,0.0005835952148284851,0.024157715430654553,42.99532656553697,-1.0000305694049567,66.66666666666666,30
9,MLP,base,0.03666866087959583,0.001883790434382693,0.04340265469280299,125.85368200301461,-3.0290394358826207,63.33333333333333,30
10,MLP,base,0.016792585632676316,0.0004756442917462328,0.021809270775205503,48.908550735597935,-2.3807401002508306,53.333333333333336,30
11,MLP,base,0.012744450731698947,0.0002956099106962807,0.017193310056422547,39.558333423464006,-0.8613421956977139,63.33333333333333,30
12,MLP,base,0.019760477459394476,0.000586848874535556,0.024224963870675967,53.41347973598777,-0.36594232628619117,46.666666666666664,30
13,MLP,base,0.013734675626251988,0.0002758781427461554,0.016609579848574,56.46053388619844,-3.877073122477886,46.666666666666664,30
14,MLP,base,0.015317230507567328,0.0003580393636150529,0.01892192811568242,93.20156776578729,-5.705997586089903,43.333333333333336,30
15,MLP,base,0.08251578571127574,0.009800445366590587,0.09899719878153415,393.86786454673205,-66.92460635833856,46.666666666666664,30
16,MLP,base,0.010866211893720754,0.0001959496252444763,0.013998200785975185,70.8926441432817,-5.015485266702111,50.0,30
17,MLP,base,0.01194927404976586,0.0004428330994706226,0.021043599964612105,61.70314441613438,-0.47571265596247114,56.666666666666664,30
18,MLP,base,0.09446106765965383,0.01101664314344787,0.10496019790114665,550.4837525612019,-257.2843235205654,50.0,30
19,MLP,base,0.023992873813224284,0.0009555852125941286,0.030912541348037507,113.20763636945021,-4.453831518255403,63.33333333333333,30
20,MLP,base,0.02198349889986374,0.0005839568454766912,0.02416519905725362,112.80464038915885,-20.690256789665437,53.333333333333336,30
21,MLP,base,0.015134790571969817,0.00030705764839261435,0.017523060474489448,60.63842279545833,-1.8443471015718869,50.0,30
22,MLP,base,0.009599181606860161,0.00015199859426596313,0.012328770995762843,42.755293541292794,-0.4745870586863401,66.66666666666666,30
1,LSTM,base,0.007859681779442185,0.00035661763236894973,0.01888432239634109,19.806763318170297,-0.0026284889200582917,63.33333333333333,30
