fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,LSTM,base,0.008799459164063331,0.009924848385377863,56.04592350296841,30
2,LSTM,base,0.010938224121566191,0.013308117060508485,32.46508451035007,30
3,LSTM,base,0.010655502348506662,0.017036222532673794,46.669241535977044,30
4,LSTM,base,0.028686195481970777,0.04272839501755806,44.548146454409206,30
5,LSTM,base,0.008913833447212747,0.018957122777285305,25.22555741515849,30
6,LSTM,base,0.008896993269341458,0.011535725672845514,32.97975713797835,30
7,LSTM,base,0.010716896979551178,0.01453573455023617,21.04873187305983,30
8,LSTM,base,0.014145983831190133,0.015957900566689064,126.40821589394089,30
9,LSTM,base,0.0062579993386092676,0.007068510733975426,43.9064920552098,30
10,LSTM,base,0.022857705829862983,0.032233136463647276,35.177241203801046,30
11,LSTM,base,0.009635310127157796,0.01707372507202806,21.607025204436873,30
12,LSTM,base,0.006058095588810775,0.007795867198322392,18.337369174233928,30
13,LSTM,base,0.007322509817477094,0.009520384586324428,21.252656923484146,30
14,LSTM,base,0.009528622379096845,0.013273154154575029,29.98555833072037,30
15,LSTM,base,0.013967639183215204,0.015302483330093373,68.85805594659415,30
16,LSTM,base,0.008608651652575803,0.0116971083769232,21.794482994218697,30
17,LSTM,base,0.008865423344224686,0.010615627173232157,47.523442162233806,30
18,LSTM,base,0.015533925716260605,0.01797627769924786,166.94969288135576,30
19,LSTM,base,0.006067258874922473,0.007578665195216584,36.842833364245,30
20,LSTM,base,0.005637807753038188,0.007322934850422901,36.10631024870988,30
21,LSTM,base,0.006453147717670215,0.01031053314507922,47.06470547438229,30
22,LSTM,base,0.010324787036610873,0.015509754991665523,30.34207162565943,30
23,LSTM,base,0.010289297544490992,0.014295784287356797,32.54535522112242,30
24,LSTM,base,0.006702770838238828,0.009421992662179135,30.08176833535669,30
25,LSTM,base,0.005428645236580642,0.006326434476976329,35.90141180130613,30
1,LSTM,extended,0.00885446406305782,0.009974828579129846,56.22871628817306,30
2,LSTM,extended,0.009629720597687465,0.012452800666064596,25.939048533137658,30
3,LSTM,extended,0.010401773693375816,0.01695020348373662,41.724811253966,30
4,LSTM,extended,0.47849997659990906,0.536939647979083,893.5793346721246,30
5,LSTM,extended,0.008841997564942064,0.018648390408071185,22.726949933520224,30
6,LSTM,extended,0.010571355019673243,0.014148350406187591,33.05277561939605,30
7,LSTM,extended,0.01540069938977452,0.022654707201455848,35.53568375355286,30
8,LSTM,extended,0.13235904425712944,0.16666743620714045,1219.0951467335701,30
9,LSTM,extended,0.005423066840149757,0.006412300496633789,38.581469882111456,30
10,LSTM,extended,0.021831678006052204,0.030855703618204628,33.58446786630091,30
11,LSTM,extended,0.02099567093918358,0.022602517657267264,66.45875105417402,30
12,LSTM,extended,0.009622185026497327,0.011559923110224258,29.088288046992616,30
13,LSTM,extended,0.00702832236548461,0.009731858758728625,17.980365769262306,30
14,LSTM,extended,0.008757308332774305,0.01141178470944826,27.615582115842134,30
15,LSTM,extended,0.007737841371722386,0.008883602709033836,39.043417049638016,30
16,LSTM,extended,0.01793411845852826,0.02479690189645215,54.944023552268575,30
17,LSTM,extended,0.012662254714687396,0.014809154240836288,71.65877718023773,30
18,LSTM,extended,0.014472260622850267,0.016629613559098592,149.43312681876714,30
19,LSTM,extended,0.08431985036527302,0.10732764524498843,547.5558866065827,30
20,LSTM,extended,0.005439488027964177,0.007034401099886965,34.14876013236475,30
21,LSTM,extended,0.006799716471025548,0.010717384106137129,50.70544615386237,30
22,LSTM,extended,0.014854899795955225,0.017513948093728117,70.35556404829644,30
23,LSTM,extended,0.009397431558082895,0.0131528708229885,29.884522495139194,30
24,LSTM,extended,0.09953014425987607,0.10356047162557835,508.9343507950469,30
25,LSTM,extended,0.005113081222514225,0.006713949511469357,36.73269792565687,30
