fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,LSTM,base,0.007718423063625511,0.018560142014078768,20.102289059869914,30
2,LSTM,base,0.008348613525242214,0.01195586344651645,33.47321245634535,30
3,LSTM,base,0.029279288327855126,0.06317020276092858,27.71731301736482,30
4,LSTM,base,0.0074514748004668495,0.01170479029023184,32.52557531444571,30
5,LSTM,base,0.00668614134991315,0.009712284474797288,25.902007540633175,30
6,LSTM,base,0.009880741329873271,0.014352527809224237,23.63731655000647,30
7,LSTM,base,0.014315933102502834,0.022920607655909614,22.302055598746797,30
8,LSTM,base,0.010491238802219149,0.014342361090222088,18.00413569653565,30
9,LSTM,base,0.0099742108485788,0.02267081549973385,22.815268956435602,30
10,LSTM,base,0.00745013639137304,0.012419749835990276,18.309921550604816,30
11,LSTM,base,0.010977196687090832,0.013051077438419498,30.432400052764724,30
12,LSTM,base,0.01172849731441841,0.016765539549773077,29.677422048556924,30
13,LSTM,base,0.005524395492708403,0.0073994121250743426,21.076124864196895,30
14,LSTM,base,0.009305081917571381,0.01040565418935757,77.47845102745046,30
15,LSTM,base,0.007537749128930475,0.011558709308242963,28.31171515914358,30
16,LSTM,base,0.004955936124142877,0.006289685682509245,33.49431006122747,30
17,LSTM,base,0.008594558747498307,0.017432085744390174,67.36231526636293,30
18,LSTM,base,0.005551597193443835,0.00656389402821099,32.68894465557661,30
19,LSTM,base,0.008723267854089722,0.012927901570683898,27.7693611030078,30
20,LSTM,base,0.0041380276904399394,0.005111426482995138,23.802747608435222,30
21,LSTM,base,0.007013400358468306,0.00914695023184548,25.81163750995535,30
22,LSTM,base,0.007434372416184074,0.009764958157628054,27.203708844501357,30
1,LSTM,extended,0.00835407733680567,0.01867518755615626,21.417877074231495,30
2,LSTM,extended,0.008703785621065708,0.011522234584347807,36.86871478579749,30
3,LSTM,extended,0.044610337004172385,0.07634960160736065,44.875430746243,30
4,LSTM,extended,0.008787068952748832,0.012214136192853825,41.59767345285189,30
5,LSTM,extended,0.009037576136071137,0.010703534995375612,44.794632403618266,30
6,LSTM,extended,0.009245571015512785,0.014500114404021616,20.754506714184423,30
7,LSTM,extended,0.011837684613961376,0.01832130742929319,21.229744203927478,30
8,LSTM,extended,0.011551808175439089,0.01571478209714601,19.48134371226587,30
9,LSTM,extended,0.010948486686836182,0.021765075476478248,28.12377698794811,30
10,LSTM,extended,0.006938185955540486,0.012914130873435875,15.9714534863372,30
11,LSTM,extended,0.01018221234057065,0.013304891526758863,25.22452462480997,30
12,LSTM,extended,0.011185730577600096,0.01742144560644662,25.111392126579013,30
13,LSTM,extended,0.005667496763557798,0.007331425561077286,21.231722432415882,30
14,LSTM,extended,0.025600279281453548,0.02746470732058303,185.84239325712025,30
15,LSTM,extended,0.0072784934243137365,0.011265224801739046,27.119956691630847,30
16,LSTM,extended,0.005984604266481972,0.00725564521491845,40.62968391708963,30
17,LSTM,extended,0.00789666417080525,0.017353145438196948,55.22173132962433,30
18,LSTM,extended,0.005790461400379569,0.007016409473665336,29.50418428662912,30
19,LSTM,extended,0.008219919399853788,0.011712671163439362,28.405932194848845,30
20,LSTM,extended,0.011881630675702446,0.01304974369938243,69.61069317932001,30
21,LSTM,extended,0.8835408036375846,0.8867183764520389,3526.2159469335065,30
22,LSTM,extended,0.008669855260952616,0.01144738564402559,30.12397124952343,30
