fold,model_name,feature_set,MAE,MSE,RMSE,MAPE,R2,n_test
1,LSTM,extended,0.008344940203743541,0.0003404349409302593,0.018450879137056297,22.076925381845314,0.042869058007311445,30
2,LSTM,extended,0.02938016026545819,0.0038030026420822973,0.061668489863805624,27.040874385609104,0.05277934040877896,30
3,LSTM,extended,0.007414194493713709,9.861181551058522e-05,0.009930348206915265,32.56531648826204,0.271296628470714,30
4,LSTM,extended,0.05095793267041458,0.0027223401706760134,0.052176049780296836,114.20112784049141,-5.938529343659582,30
5,LSTM,extended,0.008329039960112057,0.0005068189306606077,0.022512639353496688,14.9968590409315,-0.08398122275878173,30
6,LSTM,extended,0.010504932393133984,0.00018011580102880026,0.01342072282065315,27.68932391055602,-0.13412009691127635,30
7,LSTM,extended,0.005330888146324753,5.793258837194859e-05,0.007611346028919497,19.09633757545456,-0.024153152735920447,30
8,LSTM,extended,0.007514475538125935,0.00012546036781650692,0.011200909240615554,27.60774363701265,0.13046338418871162,30
9,LSTM,extended,0.008805532977770595,0.0003110123116190618,0.017635541149028055,70.49771135647808,-0.036428408276290236,30
10,LSTM,extended,0.00857588051633996,0.00016755227331010278,0.0129441984421633,26.774972114814577,0.043725397703379354,30
11,LSTM,extended,0.007836973035477311,0.00010780914219019312,0.010383118134269355,28.730331714836638,0.0013385997161731167,30
