fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,MLP,base,0.2982813948276359,0.3100825908952079,890.2305666999199,30
2,MLP,base,0.19840787192718803,0.22408970157261507,408.2777367292228,30
3,MLP,base,0.08037364652228914,0.11522107164807972,139.22931247833446,30
4,MLP,base,0.46245874709380874,0.4765438038931023,1623.8508424001197,30
5,MLP,base,0.06488259352310986,0.0893802404377805,191.0969512773822,30
6,MLP,base,0.08633651838275061,0.12079734812647067,265.32133144319573,30
7,MLP,base,0.045449470987415135,0.0739564561077803,132.31720762755367,30
8,MLP,base,0.10138990375212892,0.11518090015561876,419.10487731656644,30
9,MLP,base,0.05058657578929458,0.07609625235752185,239.93304290076236,30
10,MLP,base,0.15371567655512436,0.17488890320792136,789.7594919974562,30
11,MLP,base,0.14491394338971159,0.182423739127798,808.2739268722518,30
12,MLP,base,0.031794870524353286,0.05340808680872802,449.9509266204539,30
13,MLP,base,0.18754586362451553,0.2108880622853853,1117.824430087361,30
14,MLP,base,0.08365494451522869,0.10768842072075621,444.5884244464946,30
15,MLP,base,0.08317290807378094,0.09950824857138432,402.6376004284906,30
16,MLP,base,0.24437014966222778,0.27955797640716984,902.105091980022,30
17,MLP,base,0.3130721475930489,0.3797492590237541,1305.1508822532737,30
18,MLP,base,0.129420917539809,0.17101763812929302,659.7588176150778,30
19,MLP,base,0.07711671085598473,0.08490586597987033,437.89805799767265,30
20,MLP,base,0.060878670993802134,0.06992797782736856,418.5587415295338,30
1,LSTM,base,0.010747134221852356,0.015654480815652603,23.759468779237615,30
2,LSTM,base,0.01417729348194521,0.019243550217878484,26.943740919419728,30
3,LSTM,base,0.022449807164338247,0.044750809568833476,21.58344907200226,30
4,LSTM,base,0.015030179233861529,0.0162180649480147,55.618644527183626,30
5,LSTM,base,0.008923032553130376,0.013846079530065268,22.968238744930456,30
6,LSTM,base,0.008994588468941472,0.011226281016793876,25.82976877497894,30
7,LSTM,base,0.011088798188210174,0.01880159760241624,26.772550028746846,30
8,LSTM,base,0.10045701606925242,0.11562564032186139,425.8836126133791,30
9,LSTM,base,0.01903556979012212,0.02439276403407966,90.4642980185472,30
10,LSTM,base,0.005980542864832334,0.007809336869855432,27.340815136325762,30
11,LSTM,base,0.005083355008886442,0.006308675723853671,35.22247782335267,30
12,LSTM,base,0.00910274603813385,0.017111416462665736,84.4605657746911,30
13,LSTM,base,0.005567108335418317,0.007285492285207279,29.76995318982501,30
14,LSTM,base,0.006778476051773552,0.00888863121811539,36.24224992966266,30
15,LSTM,base,0.0047354958494445565,0.006423784717961943,22.75425314222865,30
16,LSTM,base,0.010638467222707329,0.018923051151408684,28.492347083290102,30
17,LSTM,base,0.027496674506030154,0.029149087013378504,124.10234767475421,30
18,LSTM,base,0.039931515533215126,0.04107643494617943,228.74082043987875,30
19,LSTM,base,0.00706325062440114,0.008179742645136477,46.14668351931426,30
20,LSTM,base,0.003824626493458779,0.005573121770635422,23.024009601826524,30
1,MLP,extended,0.02071850335071693,0.02884792557644763,58.17869894901825,30
2,MLP,extended,0.02803904236869712,0.0358236172007017,49.4801777281066,30
3,MLP,extended,0.07436276567163555,0.0986962084770217,144.7882317272023,30
4,MLP,extended,0.20568629479486822,0.22540043389557124,710.3537378860086,30
5,MLP,extended,0.14274092851852094,0.16110927539007677,409.54362895478636,30
6,MLP,extended,0.08937799203548433,0.11605589786181914,261.92670650834435,30
7,MLP,extended,0.11127720890063043,0.1556026751980823,389.7350473769765,30
8,MLP,extended,0.06577489053931204,0.0777309944545796,276.2129471322895,30
9,MLP,extended,0.10996529579470528,0.15969168432141054,507.6680549466948,30
10,MLP,extended,0.09869155903853347,0.11901347555175174,502.01015861160465,30
11,MLP,extended,0.027605251641823633,0.045032397220820745,161.70367014810495,30
12,MLP,extended,0.035796929277030896,0.04770691998566313,375.53647022882035,30
13,MLP,extended,0.03601347272829763,0.06928538843373966,215.694432054884,30
14,MLP,extended,0.19384939468826684,0.24465341317966796,1097.253782178247,30
15,MLP,extended,0.010444675034750443,0.014251498135341024,46.917971949749585,30
16,MLP,extended,0.5738233894396998,0.5910849367673917,2116.1341793752126,30
17,MLP,extended,0.3170449069433048,0.34153344585802936,1309.8178528133185,30
18,MLP,extended,0.1725545582325806,0.19341207360520532,883.1001368442479,30
19,MLP,extended,0.08321276031434513,0.11206943305495358,451.26132681960786,30
20,MLP,extended,0.10362069544086316,0.11908884676610078,736.7263044547545,30
1,LSTM,extended,0.012479624517854145,0.01753606129347694,29.366025555862656,30
2,LSTM,extended,0.09796385019690204,0.10366575497935014,201.85230135870898,30
3,LSTM,extended,0.02295106115177808,0.04515613551580778,22.7363143617937,30
4,LSTM,extended,0.016158042547943115,0.01744621867572537,59.822024251279316,30
5,LSTM,extended,0.010060652631827424,0.013551985648157227,28.881045588243115,30
6,LSTM,extended,0.009857709520594553,0.01159134272410194,30.723477325823108,30
7,LSTM,extended,0.009917662543355712,0.0169058046056813,23.451180647513336,30
8,LSTM,extended,0.09822532653311351,0.10695497693811397,410.5044672571392,30
9,LSTM,extended,0.018601313222548307,0.023814456259192984,87.84745545996972,30
10,LSTM,extended,0.005263869940471898,0.006719567681507642,29.625977215613002,30
11,LSTM,extended,0.1190912665373045,0.1259867220867352,731.6040388343995,30
12,LSTM,extended,0.01415590317786291,0.018053718171991775,148.2806517586705,30
13,LSTM,extended,0.006106253598197963,0.008118499294583317,30.08184843174726,30
14,LSTM,extended,0.25004542428281107,0.39994509906267883,1486.0893666850764,30
15,LSTM,extended,0.013484667234502954,0.014599146781666267,69.87883815102641,30
16,LSTM,extended,0.07557398731018218,0.07867251270601433,301.1938370860214,30
17,LSTM,extended,0.03866204651991989,0.03976411322299021,169.15968795395807,30
18,LSTM,extended,0.06661819659483402,0.06727283176556303,367.8330010863798,30
19,LSTM,extended,0.004655476761229844,0.005665906884025553,30.50369962560342,30
20,LSTM,extended,0.004071762154595199,0.005792714227519714,23.65172305853332,30
