fold,model_name,feature_set,MAE,RMSE,MAPE,n_test
1,MLP,base,0.017663910229389103,0.023172215782106396,66.70626060710318,30
2,MLP,base,0.022207930352952415,0.03377653515285638,82.44461383909561,30
3,MLP,base,0.020444909069543726,0.025787048984000832,63.60607720040379,30
4,MLP,base,0.008629812598769823,0.010192315569265184,67.07180836555435,30
5,MLP,base,0.014925741032043305,0.018600880211230204,93.55781900079553,30
6,MLP,base,0.022147239636947542,0.027907563775027636,34.96317749225406,30
7,MLP,base,0.1560728429312044,0.171883338780111,509.2482638084108,30
8,MLP,base,0.03389831040667576,0.03711086400855523,113.51194167758516,30
9,MLP,base,0.0290049383146674,0.03308213107346136,95.45880952468836,30
10,MLP,base,0.028086664632923742,0.03131655663074626,93.26786969128143,30
11,MLP,base,0.011739416150941949,0.014751065638288423,51.74553655712868,30
12,MLP,base,0.023229419587794297,0.02808539106404168,65.70724387244938,30
13,MLP,base,0.007794608951336352,0.009573457765515696,38.35551133267307,30
14,MLP,base,0.015312632432592545,0.019841606387007545,85.71946534363536,30
15,MLP,base,0.07841941918265492,0.10879230113081856,384.2052023520745,30
16,MLP,base,0.006406459277820439,0.008074993735734386,42.782706798379444,30
17,MLP,base,0.01987891452856239,0.02635819542404244,158.053490443247,30
18,MLP,base,0.016006427939974897,0.019837211911863377,70.91946596495805,30
19,MLP,base,0.012968733855895373,0.015275043526451893,47.17032217593087,30
20,MLP,base,0.009388331368100395,0.011503118345616499,42.6805306510488,30
21,MLP,base,0.007136635881933653,0.010023969662535048,39.08980148226611,30
1,LSTM,base,0.008180814523086772,0.018716219523496752,22.456457761855088,30
2,LSTM,base,0.007078581552146897,0.009610026810382968,24.930766472083242,30
3,LSTM,base,0.008793212331042693,0.01115312858107724,23.418504044913576,30
4,LSTM,base,0.004070782335978851,0.004648724340907675,35.56777798693476,30
5,LSTM,base,0.004526644784031375,0.005879854431160958,26.445165582313273,30
6,LSTM,base,0.021228424210640955,0.03078680717179375,26.54149981939741,30
7,LSTM,base,0.01123246938813343,0.018863692182494857,26.346395086784934,30
8,LSTM,base,0.008806773563279182,0.012571446536677628,25.17677040502762,30
9,LSTM,base,0.00643431117598869,0.008059100100174518,19.5453343920535,30
10,LSTM,base,0.008205613517546291,0.012944598972003958,20.02336650005186,30
11,LSTM,base,0.005516262229628813,0.006535295618534432,25.021359170578712,30
12,LSTM,base,0.007994304030402298,0.01107109596766106,20.3709568237081,30
13,LSTM,base,0.0066464112291095175,0.008374853633779414,44.10494527530335,30
14,LSTM,base,0.009849643792590181,0.01183306518604774,79.0234356398065,30
15,LSTM,base,0.005244803313659795,0.006055991689012313,31.891788781828822,30
16,LSTM,base,0.0049039244977885565,0.0067982067327341245,33.57191889451553,30
17,LSTM,base,0.006638130960075959,0.010744483780884379,46.96567309382005,30
18,LSTM,base,0.008645637106087305,0.013027514576653175,33.40335836852876,30
19,LSTM,base,0.007820224471294008,0.011541277262413961,25.88940058382026,30
20,LSTM,base,0.006320644191879751,0.009298935634487004,26.5474635054609,30
21,LSTM,base,0.005934794502883803,0.007507700321180483,41.29263921645869,30
1,MLP,extended,0.009286596917385362,0.01832589787940954,27.089097654721854,30
2,MLP,extended,0.009041144107131301,0.01214125309102661,28.823665357347522,30
3,MLP,extended,0.019316886507087353,0.026940531804398454,54.86343219317945,30
4,MLP,extended,0.004866595649218487,0.005725786752807444,34.65721659140367,30
5,MLP,extended,0.007381364517266209,0.009531544569558245,41.60120248146816,30
6,MLP,extended,0.051444146772989245,0.05929481386958814,72.43394812152741,30
7,MLP,extended,0.02144452689594184,0.02598420322778227,59.95320059672077,30
8,MLP,extended,0.01198677183032818,0.015701603234851015,35.79468235712113,30
9,MLP,extended,0.010939736051339523,0.013847289434303368,35.19804654818825,30
10,MLP,extended,0.013249585285562844,0.017746261445073585,36.69230238024083,30
11,MLP,extended,0.014206149858287071,0.017406771662168467,63.08472931479289,30
12,MLP,extended,0.018318564186111285,0.024257766446757673,50.73473755161354,30
13,MLP,extended,0.006211236902493362,0.007807275342318602,31.980577233337794,30
14,MLP,extended,0.008872146858623944,0.014658313196380656,35.38951843582891,30
